index,mid,display_name
0,m09x0r,Speech
1,m0ytgt,Child speech, kid speaking
2,m01h8n0,Conversation
3,m02qldy,Narration, monologue
4,m0261r1,Babbling
5,m0brhx,Speech synthesizer
6,m07p6fty,Shout
7,m07q4ntr,Bellow
8,m07rwj3x,Whoop
9,m07sr1lc,Yell
10,tdd00135,Children shouting
11,m03qc9zr,Screaming
12,m02rtxlg,Whispering
13,m01j3sz,Laughter
14,tdd00001,Baby laughter
15,m07r660_,Giggle
16,m07s04w4,Snicker
17,m07sq110,Belly laugh
18,m07rgt08,Chuckle, chortle
19,m0463cq4,Crying, sobbing
20,tdd00002,Baby cry, infant cry
21,m07qz6j3,Whimper
22,m07qw_06,Wail, moan
23,m07plz5l,Sigh
24,m015lz1,Singing
25,m0l14jd,Choir
26,m01swy6,Yodeling
27,m02bk07,Chant
28,m01c194,Mantra
29,tdd00005,Child singing
30,tdd00006,Synthetic singing
31,m06bxc,Rapping
32,m02fxyj,Humming
33,m07s2xch,Groan
34,m07r4k75,Grunt
35,m01w250,Whistling
36,m0lyf6,Breathing
37,m07mzm6,Wheeze
38,m01d3sd,Snoring
39,m07s0dtb,Gasp
40,m07pyy8b,Pant
41,m07q0yl5,Snort
42,m01b_21,Cough
43,m0dl9sf8,Throat clearing
44,m01hsr_,Sneeze
45,m07ppn3j,Sniff
46,m06h7j,Run
47,m07qv_x_,Shuffle
48,m07pbtc8,Walk, footsteps
49,m03cczk,Chewing, mastication
50,m07pdhp0,Biting
51,m0939n_,Gargling
52,m01g90h,Stomach rumble
53,m03q5_w,Burping, eructation
54,m02p3nc,Hiccup
55,m02_nn,Fart
56,m0k65p,Hands
57,m025_jnm,Finger snapping
58,m0l15bq,Clapping
59,m01jg02,Heart sounds, heartbeat
60,m01jg1z,Heart murmur
61,m053hz1,Cheering
62,m028ght,Applause
63,m07rkbfh,Chatter
64,m03qtwd,Crowd
65,m07qfr4h,Hubbub, speech noise, speech babble
66,tdd00013,Children playing
67,m0jbk,Animal
68,m068hy,Domestic animals, pets
69,m0bt9lr,Dog
70,m05tny_,Bark
71,m07r_k2n,Yip
72,m07qf0zm,Howl
73,m07rc7d9,Bow-wow
74,m0ghcn6,Growling
75,tdd00136,Whimper (dog)
76,m01yrx,Cat
77,m02yds9,Purr
78,m07qrkrw,Meow
79,m07rjwbb,Hiss
80,m07r81j2,Caterwaul
81,m0ch8v,Livestock, farm animals, working animals
82,m03k3r,Horse
83,m07rv9rh,Clip-clop
84,m07q5rw0,Neigh, whinny
85,m01xq0k1,Cattle, bovinae
86,m07rpkh9,Moo
87,m0239kh,Cowbell
88,m068zj,Pig
89,tdd00018,Oink
90,m03fwl,Goat
91,m07q0h5t,Bleat
92,m07bgp,Sheep
93,m025rv6n,Fowl
94,m09b5t,Chicken, rooster
95,m07st89h,Cluck
96,m07qn5dc,Crowing, cock-a-doodle-doo
97,m01rd7k,Turkey
98,m07svc2k,Gobble
99,m09ddx,Duck
100,m07qdb04,Quack
101,m0dbvp,Goose
102,m07qwf61,Honk
103,m01280g,Wild animals
104,m0cdnk,Roaring cats (lions, tigers)
105,m04cvmfc,Roar
106,m015p6,Bird
107,m020bb7,Bird vocalization, bird call, bird song
108,m07pggtn,Chirp, tweet
109,m07sx8x_,Squawk
110,m0h0rv,Pigeon, dove
111,m07r_25d,Coo
112,m04s8yn,Crow
113,m07r5c2p,Caw
114,m09d5_,Owl
115,m07r_80w,Hoot
116,m05_wcq,Bird flight, flapping wings
117,m01z5f,Canidae, dogs, wolves
118,m06hps,Rodents, rats, mice
119,m04rmv,Mouse
120,m07r4gkf,Patter
121,m03vt0,Insect
122,m09xqv,Cricket
123,m09f96,Mosquito
124,m0h2mp,Fly, housefly
125,m07pjwq1,Buzz
126,m01h3n,Bee, wasp, etc.
127,m09ld4,Frog
128,m07st88b,Croak
129,m078jl,Snake
130,m07qn4z3,Rattle
131,m032n05,Whale vocalization
132,m04rlf,Music
133,m04szw,Musical instrument
134,m0fx80y,Plucked string instrument
135,m0342h,Guitar
136,m02sgy,Electric guitar
137,m018vs,Bass guitar
138,m042v_gx,Acoustic guitar
139,m06w87,Steel guitar, slide guitar
140,m01glhc,Tapping (guitar technique)
141,m07s0s5r,Strum
142,m018j2,Banjo
143,m0jtg0,Sitar
144,m04rzd,Mandolin
145,m01bns_,Zither
146,m07xzm,Ukulele
147,m05148p4,Keyboard (musical)
148,m05r5c,Piano
149,m01s0ps,Electric piano
150,m013y1f,Organ
151,m03xq_f,Electronic organ
152,m03gvt,Hammond organ
153,m0l14qv,Synthesizer
154,m01v1d8,Sampler
155,m03q5t,Harpsichord
156,m0l14md,Percussion
157,m02hnl,Drum kit
158,m0cfdd,Drum machine
159,m026t6,Drum
160,m06rvn,Snare drum
161,m03t3fj,Rimshot
162,m02k_mr,Drum roll
163,m0bm02,Bass drum
164,m011k_j,Timpani
165,m01p970,Tabla
166,m01qbl,Cymbal
167,m03qtq,Hi-hat
168,m01sm1g,Wood block
169,m07brj,Tambourine
170,m05r5wn,Rattle (instrument)
171,m0xzly,Maraca
172,m0mbct,Gong
173,m016622,Tubular bells
174,m0j45pbj,Mallet percussion
175,m0dwsp,Marimba, xylophone
176,m0dwtp,Glockenspiel
177,m0dwt5,Vibraphone
178,m0l156b,Steelpan
179,m05pd6,Orchestra
180,m01kcd,Brass instrument
181,m0319l,French horn
182,m07gql,Trumpet
183,m07c6l,Trombone
184,m0l14_3,Bowed string instrument
185,m02qmj0d,String section
186,m07y_7,Violin, fiddle
187,m0d8_n,Pizzicato
188,m01xqw,Cello
189,m02fsn,Double bass
190,m085jw,Wind instrument, woodwind instrument
191,m0l14j_,Flute
192,m06ncr,Saxophone
193,m01wy6,Clarinet
194,m03m5k,Harp
195,m0395lw,Bell
196,m03w41f,Church bell
197,m027m70_,Jingle bell
198,m0gy1t2s,Bicycle bell
199,m07n_g,Tuning fork
200,m0f8s22,Chime
201,m026fgl,Wind chime
202,m0150b9,Change ringing (campanology)
203,m03qjg,Harmonica
204,m0mkg,Accordion
205,m0192l,Bagpipes
206,m02bxd,Didgeridoo
207,m0l14l2,Shofar
208,m07kc_,Theremin
209,m0l14t7,Singing bowl
210,m01hgjl,Scratching (performance technique)
211,m064t9,Pop music
212,m0glt670,Hip hop music
213,m02cz_7,Beatboxing
214,m06by7,Rock music
215,m03lty,Heavy metal
216,m05r6t,Punk rock
217,m0dls3,Grunge
218,m0dl5d,Progressive rock
219,m07sbbz2,Rock and roll
220,m05w3f,Psychedelic rock
